name,designation,ra,ra_err,dec,dec_err,w1_mean,w1_mean_err,w1_median,w1_median_err,w1_min,w1_min_err,w1_max,w1_max_err,w1_snr,w1_snr_min,w1_snr_max,w1_num_pts,w1_epochs,w1_amplitude,w1_var_ratio,w1_mean_median,w1_M_value,w1_fap,w1_sde,w1_power,w1_period,w1_baseline,w1_sigp,w1_in_sigp,w1_brighter_sigp,w1_fainter_sigp,w2_mean,w2_mean_err,w2_median,w2_median_err,w2_min,w2_min_err,w2_max,w2_max_err,w2_snr,w2_snr_min,w2_snr_max,w2_num_pts,w2_epochs,w2_amplitude,w2_var_ratio,w2_mean_median,w2_M_value,w2_fap,w2_sde,w2_power,w2_period,w2_baseline,w2_sigp,w2_in_sigp,w2_brighter_sigp,w2_fainter_sigp,w3_mean,w3_mean_err,w3_snr,w4_mean,w4_mean_err,w4_snr,w1_w2,delta_time,cadence,epochs,qual_flag,pmra,pmra_err,pmdec,pmdec_err,wiseview
740483560857296768,J101141.43+284547.66,152.922511,0.185835,28.762713,0.210683,14.236,0.067,14.233,0.063,13.847,0.054,14.468,0.102,16.641,6.8,21.5,288,22,0.621,0.96,0.003,0.378,0.003,11.92,0.085421285773416,0.0212295107076079,14.231,0.07,63.89,14.93,21.18,14.186,0.212,14.173,0.195,13.24,0.088,14.944,0.344,5.441,0.5,12.3,288,22,1.704,0.96,0.013,0.452,0.003,11.1,0.0989582072048435,0.5129138691885001,14.152,0.187,61.81,14.58,23.61,11.261,,0.775,7.67,,0.586,0.05,4940.286,0.13,22,SS,-124.82532395178832,0.05529637,-713.2437293229788,0.04374674,http://byw.tools/wiseview#ra=152.92260660408903&dec=28.76323852724818&size=107&speed=50&band=3&minbright=-50&maxbright=100&window=1.5&zoom=10&gaia=1&outer_epochs=0
3265311627666274944,J031449.75-010520.28,48.707153,0.528182,-1.089122,0.523559,15.538,0.172,15.483,0.164,15.034,0.136,16.398,0.312,6.686,3.4,10.0,51,18,1.364,0.57,0.055,0.671,0.0,9.21,0.4484168408833287,0.0251130328267957,15.444,0.169,54.9,13.73,31.37,14.856,0.402,14.871,0.391,14.017,,15.435,0.463,2.11,-0.1,4.1,51,18,1.418,0.73,-0.015,0.398,0.004,8.46,0.3210695204762578,0.3410736590399114,14.899,0.319,70.59,17.65,11.76,11.151,0.37,1.1,7.683,,0.662,0.682,4749.731,0.425,22,SS,-71.43332014097979,0.1446849,-70.29047017820314,0.13187526,http://byw.tools/wiseview#ra=48.707272601133006&dec=-1.0889663596753802&size=105&speed=50&band=3&minbright=-50&maxbright=100&window=1.5&zoom=10&gaia=1&outer_epochs=0
1401366366041668224,J154927.36+480226.88,237.364047,0.854005,48.040746,0.965485,16.085,0.251,16.089,0.239,15.208,0.121,17.037,0.52,4.518,0.6,8.9,193,23,1.829,0.85,-0.004,0.518,0.0,10.26,0.1495050441306345,0.0211636170846276,16.023,0.257,66.32,9.84,23.83,15.157,0.4,15.18,0.403,14.176,,15.806,,0.981,-2.2,4.7,193,23,1.63,0.84,-0.023,0.384,0.002,11.38,0.1503565212274348,0.0164338364601481,15.247,0.408,78.76,17.1,4.15,11.3,0.287,0.86,7.854,0.522,0.909,0.928,4910.599,0.196,23,SS,109.18587232609772,0.06312369,-137.1255185835221,0.0745084,http://byw.tools/wiseview#ra=237.36398427210017&dec=48.04080038569376&size=105&speed=50&band=3&minbright=-50&maxbright=100&window=1.5&zoom=10&gaia=1&outer_epochs=0
1439283711720415872,J172523.05+620937.91,261.346029,0.83343,62.160556,0.936119,16.207,0.273,16.195,0.257,15.201,,16.961,0.444,4.114,1.3,7.2,214,22,1.76,0.74,0.012,0.435,0.013,9.5,0.1237624368825135,0.1964354006224503,16.224,0.282,82.24,8.88,8.88,15.176,0.457,15.197,0.469,13.844,,15.9,,1.078,-3.2,3.5,214,22,2.056,0.8,-0.021,0.342,0.002,10.9,0.1180132631778064,0.0884283441060058,15.208,0.415,84.11,9.81,6.07,11.179,0.419,1.153,7.68,0.393,1.487,1.03,4913.862,0.524,22,SS,30.56477525384809,0.07336527,70.44220741019701,0.083485395,http://byw.tools/wiseview#ra=261.3460219991958&dec=62.160531733306165&size=105&speed=50&band=3&minbright=-50&maxbright=100&window=1.5&zoom=10&gaia=1&outer_epochs=0
1281989124439286912,J145806.66+293719.94,224.527888,0.229847,29.621919,0.260821,14.606,0.08,14.603,0.076,14.233,0.079,15.02,0.147,14.051,4.0,19.2,320,23,0.787,0.74,0.003,0.53,0.0,15.23,0.1239210321897842,0.0326719583187651,14.593,0.088,52.81,22.19,25.0,14.533,0.259,14.514,0.245,13.75,0.139,15.364,0.487,4.388,0.4,10.0,320,23,1.614,0.75,0.019,0.527,0.0,14.24,0.154992139600357,0.0329472893886305,14.544,0.245,66.88,16.25,16.88,11.113,0.413,1.841,7.738,0.441,1.309,0.073,4910.41,0.13,23,SS,142.09490833112145,0.027503058,-598.393804136648,0.03130284,http://byw.tools/wiseview#ra=224.5277617018512&dec=29.622205824953102&size=106&speed=50&band=3&minbright=-50&maxbright=100&window=1.5&zoom=10&gaia=1&outer_epochs=0
1666378698746614528,J142727.68+611026.64,216.864293,0.254651,61.174264,0.282036,14.691,0.09,14.67,0.086,14.4,0.093,15.039,0.11,12.546,6.4,17.4,67,15,0.639,0.76,0.021,0.577,0.001,8.93,0.292318541833724,0.0288484855229816,14.638,0.093,59.7,10.45,29.85,14.7,0.297,14.715,0.273,14.084,,15.406,0.536,3.779,0.3,6.3,67,15,1.322,0.75,-0.015,0.523,0.0,9.4,0.3223576847027529,0.0774344575331023,14.658,0.28,58.21,16.42,25.37,11.361,0.47,1.071,7.824,,0.569,-0.009,2756.007,0.358,22,SS,-279.5665040224775,0.058264017,10.909836859476302,0.06490323,http://byw.tools/wiseview#ra=216.86532645903048&dec=61.17406745316174&size=105&speed=50&band=3&minbright=-50&maxbright=100&window=1.5&zoom=10&gaia=1&outer_epochs=0
1289020673097509760,J150506.16+325959.53,226.275661,0.25692,32.999882,0.288477,14.677,0.085,14.664,0.08,14.368,0.11,15.575,0.146,13.201,5.8,16.9,425,23,1.207,0.89,0.013,0.755,0.003,11.98,0.066807080293083,0.0164023204265254,14.653,0.093,67.76,12.24,20.0,14.542,0.263,14.522,0.242,13.635,,15.324,0.495,4.328,-0.7,9.3,425,23,1.689,0.93,0.02,0.475,0.002,10.84,0.0795036872636755,0.0252956826215661,14.566,0.247,65.88,18.12,16.0,11.353,0.427,1.071,7.811,0.504,0.842,0.135,4910.411,0.066,23,SS,-11.67589508739985,0.03235484,9.006096676748957,0.043171275,http://byw.tools/wiseview#ra=226.2756463038983&dec=32.999869973664126&size=105&speed=50&band=3&minbright=-50&maxbright=100&window=1.5&zoom=10&gaia=1&outer_epochs=0
1884744525522874880,J225124.56+293946.65,342.853007,0.162166,29.663027,0.156185,13.935,0.054,13.924,0.052,13.712,0.049,14.744,0.112,20.426,9.7,25.4,335,23,1.032,0.84,0.011,0.795,0.01,11.44,0.0719969868669024,0.0221387307673482,13.904,0.059,61.79,10.75,27.46,13.945,0.168,13.935,0.155,13.313,0.158,14.971,0.476,6.9,1.0,11.8,335,23,1.658,0.78,0.01,0.625,0.007,10.22,0.0744529290708012,0.0169548151898844,13.875,0.156,64.18,8.66,27.16,11.318,0.448,1.089,7.809,,0.7,-0.01,4912.178,0.066,23,SS,1246.045074516113,0.15100558,138.2143119231665,0.19784173,http://byw.tools/wiseview#ra=342.8523234476119&dec=29.662959272690284&size=112&speed=50&band=3&minbright=-50&maxbright=100&window=1.5&zoom=10&gaia=1&outer_epochs=0
1020653077580086784,J095016.67+531514.27,147.569253,0.273312,53.253985,0.309701,14.825,0.093,14.809,0.088,14.556,0.07,15.675,0.164,12.006,4.3,15.9,334,22,1.119,0.94,0.016,0.774,0.005,11.35,0.0767731096942138,0.1353475730993839,14.791,0.102,65.87,11.98,22.16,14.8,0.316,14.795,0.296,13.934,0.202,15.49,0.475,3.436,-1.7,7.0,334,22,1.556,0.85,0.005,0.447,0.0,12.07,0.0991812353334304,0.023577860866499,14.802,0.304,71.26,13.77,14.97,11.258,,0.84,7.665,0.492,1.02,0.026,4945.592,0.066,22,SS,-262.25055719360654,0.02138613,-35.16573388153499,0.022163153,http://byw.tools/wiseview#ra=147.56947299601484&dec=53.25396386015177&size=105&speed=50&band=3&minbright=-50&maxbright=100&window=1.5&zoom=10&gaia=1&outer_epochs=0
716504796716020352,J084909.32+342947.86,132.288689,0.309323,34.496637,0.34909,14.881,0.105,14.869,0.098,14.553,0.104,15.756,0.188,10.775,3.6,15.2,263,21,1.203,0.87,0.012,0.737,0.007,10.42,0.0980820256072526,0.0359343049463839,14.85,0.106,63.88,13.69,22.43,14.75,0.345,14.76,0.33,13.772,,15.653,0.529,2.789,-0.6,6.8,263,21,1.881,0.66,-0.01,0.475,0.0,12.88,0.1316278394448033,0.0221346410578553,14.687,0.291,70.72,10.27,19.01,11.179,,0.7,7.656,0.285,0.971,0.13,4947.991,0.13,21,SS,-124.5095715163738,0.036186982,7.796204644243232,0.029799221,http://byw.tools/wiseview#ra=132.2888165397682&dec=34.49662703781197&size=105&speed=50&band=3&minbright=-50&maxbright=100&window=1.5&zoom=10&gaia=1&outer_epochs=0
3926968661219149184,J115643.47+182219.65,179.181002,0.295047,18.372085,0.333375,14.84,0.1,14.84,0.094,14.507,0.091,15.254,0.166,11.298,4.1,15.6,165,22,0.747,0.87,0.0,0.554,0.0,14.73,0.2261588849471152,0.0326691542776054,14.856,0.104,58.79,24.85,16.36,14.715,0.34,14.734,0.334,13.954,,15.6,0.516,2.96,-1.6,7.4,165,22,1.646,0.89,-0.019,0.526,0.002,10.45,0.1750236628119178,0.0343255404807372,14.751,0.284,59.39,22.42,18.18,11.159,0.448,0.978,7.695,,0.687,0.124,4739.348,0.131,22,SS,-336.45887665119744,0.041012928,6.784685213528704,0.026439393,http://byw.tools/wiseview#ra=179.18110449272552&dec=18.372125323091502&size=105&speed=50&band=3&minbright=-50&maxbright=100&window=1.5&zoom=10&gaia=1&outer_epochs=0
